rule,window_yr,win_rate
A_grid.VIX<14.RSI<65,1,100
A_grid.VIX<14.RSI<65,2,80
A_grid.VIX<14.RSI<65,5,93
A_grid.VIX<14.RSI<65,10,80
A_grid.VIX<14.RSI<65,30,70
A_grid.VIX<16.RSI<70,1,90
A_grid.VIX<16.RSI<70,2,78
A_grid.VIX<16.RSI<70,5,82
A_grid.VIX<16.RSI<70,10,78
A_grid.VIX<16.RSI<70,30,62
move.fear_unwind,1,100
move.fear_unwind,2,100
move.fear_unwind,5,73
move.fear_unwind,10,82
move.fear_unwind,30,53
orig.A_CURRENT,1,100
orig.A_CURRENT,2,100
orig.A_CURRENT,5,67
orig.A_CURRENT,10,62
orig.A_CURRENT,30,43
orig.C_CHEAP_IV,1,100
orig.C_CHEAP_IV,2,88
orig.C_CHEAP_IV,5,89
orig.C_CHEAP_IV,10,80
orig.C_CHEAP_IV,30,63
orig.D_BREAKOUT,1,86
orig.D_BREAKOUT,2,78
orig.D_BREAKOUT,5,70
orig.D_BREAKOUT,10,76
orig.D_BREAKOUT,30,58
orig.E_OVERSOLD,1,100
orig.E_OVERSOLD,2,78
orig.E_OVERSOLD,5,47
orig.E_OVERSOLD,10,57
orig.E_OVERSOLD,30,47
orig.F_VIX_CRUSH,1,100
orig.F_VIX_CRUSH,2,100
orig.F_VIX_CRUSH,5,75
orig.F_VIX_CRUSH,10,68
orig.F_VIX_CRUSH,30,60
orig.H_TREND_FOLLOW,1,92
orig.H_TREND_FOLLOW,2,70
orig.H_TREND_FOLLOW,5,67
orig.H_TREND_FOLLOW,10,71
orig.H_TREND_FOLLOW,30,58
orig.I_BB_SQUEEZE,1,75
orig.I_BB_SQUEEZE,2,71
orig.I_BB_SQUEEZE,5,71
orig.I_BB_SQUEEZE,10,74
orig.I_BB_SQUEEZE,30,57
orig.L_A_OR_SQUEEZE,1,83
orig.L_A_OR_SQUEEZE,2,80
orig.L_A_OR_SQUEEZE,5,71
orig.L_A_OR_SQUEEZE,10,70
orig.L_A_OR_SQUEEZE,30,50
orig.M_QUAL_BREAKOUT,1,80
orig.M_QUAL_BREAKOUT,2,76
orig.M_QUAL_BREAKOUT,5,73
orig.M_QUAL_BREAKOUT,10,77
orig.M_QUAL_BREAKOUT,30,61
orig.N_FILTER_CURR,1,100
orig.N_FILTER_CURR,2,100
orig.N_FILTER_CURR,5,83
orig.N_FILTER_CURR,10,71
orig.N_FILTER_CURR,30,46
oversold.RSI<30.VIX<28,1,100
oversold.RSI<30.VIX<28,2,75
oversold.RSI<30.VIX<28,5,64
oversold.RSI<30.VIX<28,10,68
oversold.RSI<30.VIX<28,30,62
squeeze.BB<0.15.VIX<18,1,75
squeeze.BB<0.15.VIX<18,2,80
squeeze.BB<0.15.VIX<18,5,83
squeeze.BB<0.15.VIX<18,10,85
squeeze.BB<0.15.VIX<18,30,60
